hjd,camera,mag,mag_err,flux,flux_err
2457702.70303,ba,12.232,0.02,49.1,0.903
2457318.73379,ba,12.166,0.02,52.179,0.96
2457870.10246,ba,12.097,0.02,55.603,1.023
2456914.83636,ba,12.175,0.02,51.772,0.953
2457903.93108,ba,12.132,0.02,53.837,0.991
2457673.74411,ba,12.179,0.02,51.538,0.948
2458392.82198,ba,12.1,0.02,55.434,1.02
2457450.15771,ba,12.244,0.02,48.568,0.894
2456892.877,ba,12.129,0.02,54.005,0.994
2456970.72137,ba,12.091,0.02,55.924,1.029
2457333.71938,ba,12.209,0.02,50.15,0.923
2457549.90109,ba,12.168,0.02,52.063,0.958
2457686.69807,ba,12.213,0.02,49.99,0.92
2458013.87012,ba,12.2,0.02,50.558,0.93
2457926.98777,ba,12.155,0.02,52.719,0.97
2457871.07977,ba,12.14,0.02,53.45,0.983
2457222.91863,ba,12.159,0.02,52.513,0.966
2456919.82997,ba,12.17,0.02,52.001,0.957
2456922.82941,ba,12.194,0.02,50.858,0.936
2457308.79691,ba,12.202,0.02,50.456,0.928
2457131.12025,ba,12.204,0.02,50.369,0.927
2458260.94944,ba,12.096,0.02,55.635,1.024
2457982.95656,ba,12.094,0.02,55.769,1.026
2457988.93951,ba,12.121,0.02,54.383,1.001
2457913.99204,ba,12.186,0.02,51.231,0.943
2457483.12067,ba,12.242,0.02,48.654,0.895
2457104.12062,ba,12.221,0.02,49.621,0.913
2457532.97429,ba,12.235,0.02,48.958,0.901
2457229.98664,ba,12.204,0.02,50.366,0.927
2457828.1303,ba,12.155,0.02,52.727,0.97
2457968.85392,ba,12.183,0.02,51.378,0.945
